job_title,experience_years,education_level,skills_count,industry,company_size,location,remote_work,certifications,salary,experience_level
AI Engineer,10,bachelor,2,Healthcare,Medium,India,,2,109413,Mid
Data Analyst,5,bachelor,17,Telecom,Small,Australia,0,0,93764,Junior
Frontend Developer,18,phd,4,Media,Medium,Singapore,0,1,148123,Senior
Business Analyst,19,phd,13,Retail,Medium,Canada,1,0,189123,Senior
Product Manager,15,bachelor,7,Manufacturing,Large,Sweden,1,0,165069,Senior
AI Engineer,0,high school,4,Education,Enterprise,USA,0,2,180351,
Backend Developer,6,high school,16,Manufacturing,Enterprise,Canada,0,3,165375,Mid
Machine Learning Engineer,4,bachelor,18,Healthcare,Enterprise,Canada,,5,202463,Junior
AI Engineer,5,diploma,14,Telecom,Enterprise,Singapore,1,0,171834,Junior
Frontend Developer,18,phd,2,Retail,Enterprise,India,,5,128377,Senior
Frontend Developer,1,high school,10,Healthcare,Large,Netherlands,1,5,105755,Fresher
Business Analyst,19,master,7,Finance,Large,Netherlands,1,5,157417,Senior
Product Manager,8,high school,3,Healthcare,Medium,Canada,1,3,154190,Mid
Data Analyst,3,bachelor,3,Education,Startup,Singapore,1,4,87600,Junior
Business Analyst,14,phd,5,Healthcare,Enterprise,India,0,1,106481,Senior
Business Analyst,0,bachelor,9,Technology,Medium,Remote,0,4,85143,
Machine Learning Engineer,11,phd,16,Consulting,Medium,Germany,,3,191757,Senior
DevOps Engineer,10,bachelor,1,Education,Large,UK,0,2,155931,Mid
Product Manager,9,master,12,Finance,Small,Singapore,1,1,141207,Mid
Software Engineer,11,high school,10,Media,Large,Sweden,0,1,124532,Senior
Business Analyst,4,bachelor,15,Retail,Medium,UK,,0,108203,Junior
Cybersecurity Analyst,17,diploma,7,Government,Small,Germany,,5,161268,Senior
DevOps Engineer,10,bachelor,8,Government,Small,Germany,1,1,151828,Mid
Software Engineer,5,high school,2,Retail,Enterprise,Sweden,,1,115827,Junior
Cybersecurity Analyst,12,high school,15,Technology,Small,Australia,,1,125030,Senior
Product Manager,13,master,8,Retail,Medium,India,,3,113838,Senior
Data Scientist,2,bachelor,14,Education,Startup,Remote,1,5,109478,Fresher
Cybersecurity Analyst,9,phd,19,Technology,Medium,Germany,0,2,168253,Mid
Backend Developer,7,diploma,15,Telecom,Medium,Australia,0,3,119988,Mid
DevOps Engineer,4,diploma,19,Technology,Large,Australia,,2,141409,Junior
Cybersecurity Analyst,4,phd,8,Media,Startup,Australia,0,4,121972,Junior
Cloud Engineer,8,phd,3,Finance,Medium,UK,0,0,162923,Mid
Data Scientist,13,master,3,Government,Large,India,1,0,111158,Senior
Frontend Developer,14,diploma,17,Finance,Startup,India,1,2,84456,Senior
Frontend Developer,18,diploma,18,Government,Large,Sweden,0,1,158451,Senior
Backend Developer,10,master,4,Technology,Small,Australia,,1,115823,Mid
Cybersecurity Analyst,0,phd,13,Telecom,Large,Singapore,,2,143181,
Cybersecurity Analyst,11,bachelor,10,Healthcare,Medium,Canada,1,0,167629,Senior
Machine Learning Engineer,15,phd,15,Consulting,Medium,Germany,,5,213920,Senior
Cybersecurity Analyst,10,master,12,Telecom,Enterprise,Australia,1,5,184393,Mid
AI Engineer,5,diploma,10,Government,Small,Germany,,5,143403,Junior
Data Analyst,2,phd,4,Telecom,Small,Netherlands,,5,96611,Fresher
Cloud Engineer,5,phd,4,Retail,Small,Germany,1,4,152413,Junior
Machine Learning Engineer,15,high school,15,Technology,Enterprise,Germany,1,2,212249,Senior
Product Manager,8,high school,14,Healthcare,Large,Singapore,,1,136543,Mid
Machine Learning Engineer,8,bachelor,17,Telecom,Small,Canada,0,4,177406,Mid
AI Engineer,9,master,10,Consulting,Large,Netherlands,1,3,194075,Mid
Product Manager,13,diploma,3,Consulting,Startup,Canada,1,0,145069,Senior
Cloud Engineer,14,diploma,14,Education,Medium,Remote,0,4,155886,Senior
AI Engineer,15,high school,13,Manufacturing,Small,Remote,,2,152004,Senior
Software Engineer,11,diploma,11,Government,Startup,Canada,0,1,121570,Senior
Data Analyst,17,master,6,Finance,Large,Australia,,4,149491,Senior
Cloud Engineer,11,diploma,8,Government,Small,Remote,0,0,127838,Senior
Cybersecurity Analyst,12,high school,9,Healthcare,Enterprise,Singapore,0,2,163138,Senior
Software Engineer,20,master,6,Manufacturing,Enterprise,Remote,,2,194364,Senior
Backend Developer,0,phd,11,Education,Large,UK,0,3,159274,
Cloud Engineer,10,master,7,Telecom,Enterprise,Germany,0,0,190270,Mid
Backend Developer,12,bachelor,3,Education,Enterprise,Canada,,4,186953,Senior
Product Manager,8,master,3,Healthcare,Large,Canada,0,4,186117,Mid
Software Engineer,14,phd,16,Media,Medium,Sweden,0,4,165569,Senior
Data Analyst,2,master,6,Media,Startup,Australia,,1,89018,Fresher
Cybersecurity Analyst,4,diploma,12,Consulting,Small,Netherlands,0,2,115238,Junior
Cybersecurity Analyst,12,master,15,Media,Small,Germany,0,3,165648,Senior
AI Engineer,20,diploma,5,Media,Startup,India,,5,112984,Senior
Cybersecurity Analyst,16,master,1,Media,Small,Remote,,3,147049,Senior
Business Analyst,14,diploma,18,Media,Medium,USA,1,2,153999,Senior
Machine Learning Engineer,15,high school,6,Finance,Small,Netherlands,1,1,147962,Senior
Data Scientist,11,master,18,Finance,Large,Sweden,,5,168153,Senior
Data Analyst,12,high school,18,Technology,Medium,Australia,1,4,124202,Senior
Software Engineer,6,master,16,Retail,Large,USA,1,4,200988,Mid
Business Analyst,12,high school,3,Technology,Large,Sweden,,2,110222,Senior
Data Analyst,14,bachelor,2,Manufacturing,Medium,Sweden,,0,101805,Senior
Software Engineer,8,master,2,Consulting,Small,Singapore,1,2,119579,Mid
DevOps Engineer,9,phd,4,Healthcare,Enterprise,UK,1,1,208215,Mid
DevOps Engineer,18,high school,6,Retail,Startup,Sweden,,5,127545,Senior
Backend Developer,2,diploma,18,Healthcare,Medium,Australia,,2,102766,Fresher
Data Analyst,0,high school,5,Telecom,Large,UK,,3,91705,
DevOps Engineer,10,bachelor,4,Consulting,Large,UK,1,0,171414,Mid
Software Engineer,1,diploma,3,Consulting,Enterprise,Remote,1,4,128205,Fresher
Backend Developer,9,master,15,Education,Medium,UK,,2,152842,Mid
Cybersecurity Analyst,0,diploma,19,Education,Enterprise,Canada,1,2,163299,
